id;name;country;logo
8816;Northern Lights Entertainment;US;https://image.tmdb.org/t/p/original
8921;United Plankton Pictures;US;https://image.tmdb.org/t/p/original
9149;Shogakukan;JP;https://image.tmdb.org/t/p/original/isLUpud9N56ifftJZ4XvzwBBpoG.png
9169;Hemisphere Media Capital;;https://image.tmdb.org/t/p/original
9269;Global Medien KG;DE;https://image.tmdb.org/t/p/original
9383;Blue Sky Studios;US;https://image.tmdb.org/t/p/original/ppeMh4iZJQUMm1nAjRALeNhWDfU.png
9965;Ánima Estudios;MX;https://image.tmdb.org/t/p/original/sxA2AfKijRSS1dxcXejJ27wg20H.png
9993;DC Entertainment;US;https://image.tmdb.org/t/p/original/2Tc1P3Ac8M479naPp1kYT3izLS5.png
9995;Cruel & Unusual Films;US;https://image.tmdb.org/t/p/original/mAIGhOYhN4N2N0F7p4dbKhgXf3l.png
9996;Syncopy;GB;https://image.tmdb.org/t/p/original/3tvBqYsBhxWeHlu62SIJ1el93O7.png
10038;Square Enix;JP;https://image.tmdb.org/t/p/original/nCueXKwYIEXrZ5ofqSJBO1YcmRr.png
10146;Focus Features;US;https://image.tmdb.org/t/p/original/xnFIOeq5cKw09kCWqV7foWDe4AA.png
10156;Affirm Films;US;https://image.tmdb.org/t/p/original/bWjWWQfiyZh9AkGYCkx1NcVdSvn.png
10159;nWave Pictures;BE;https://image.tmdb.org/t/p/original
10160;Illuminata Pictures;US;https://image.tmdb.org/t/p/original
10163;Working Title Films;GB;https://image.tmdb.org/t/p/original/16KWBMmfPX0aJzDExDrPxSLj0Pg.png
10201;Interscope Communications;;https://image.tmdb.org/t/p/original
10208;Long Road Productions;;https://image.tmdb.org/t/p/original
10211;Alfran Productions;US;https://image.tmdb.org/t/p/original
10221;Walden Media;US;https://image.tmdb.org/t/p/original/99VfWRgKasZoyK9UVB39gnYvFrZ.png
10224;Museum Canada Productions;;https://image.tmdb.org/t/p/original
10227;Mandeville Films;US;https://image.tmdb.org/t/p/original/3YfRy3DBl4abcqkzGx4RVNz12yl.png
10256;Disruption Entertainment;;https://image.tmdb.org/t/p/original
10280;Arc Productions;;https://image.tmdb.org/t/p/original
10282;Silver Screen Partners IV;US;https://image.tmdb.org/t/p/original
10288;Don Simpson/Jerry Bruckheimer Films;US;https://image.tmdb.org/t/p/original
10338;Perfect World Pictures;CN;https://image.tmdb.org/t/p/original/el2ap6lvjcEDdbyJoB3oKiYgXu9.png
10342;Studio Ghibli;JP;https://image.tmdb.org/t/p/original/dT3UbXjca6TClutHJtr7GhkRALP.png
10611;Ciné+;FR;https://image.tmdb.org/t/p/original/zQ4fGaEnNkWfSzyygXRcUZwPmDG.png
10644;Blur Studio;US;https://image.tmdb.org/t/p/original/ocLZIdYJBppuCt1rhYEb2jbpt5F.png
10807;Troublemaker Studios;US;https://image.tmdb.org/t/p/original/j0BcMaJKIiDDYHq9lriTcM0Npka.png
10930;Bagdasarian Productions;;https://image.tmdb.org/t/p/original
10937;Grey Matter Entertainment;;https://image.tmdb.org/t/p/original
10951;Screen NSW;AU;https://image.tmdb.org/t/p/original/48iBaAPgtoirf3C25HNkL9MhWfj.png
11029;QED International;US;https://image.tmdb.org/t/p/original/aEqqnFZjCW10ODE4TYQ1qkjvokr.png
11098;The Harvey Entertainment Company;US;https://image.tmdb.org/t/p/original/kFusuY8kFGTO17faXc52RWKvG5A.png
11199;SCOPE Pictures;BE;https://image.tmdb.org/t/p/original/ursSXLOZaDxiZ84sEgfXbiFnYaa.png
11200;Buena Vista Home Entertainment;;https://image.tmdb.org/t/p/original
11246;Région Ile-de-France;FR;https://image.tmdb.org/t/p/original/4YZ5CQZkJa2FIKGtjLLoKhNOAIw.png
11249;Farah Films & Management;;https://image.tmdb.org/t/p/original
11261;M6;FR;https://image.tmdb.org/t/p/original/g7p4vSwqsIo6zYptyN3hoDxFp7y.png
11327;Shirogumi;JP;https://image.tmdb.org/t/p/original
11376;NHK Enterprises;JP;https://image.tmdb.org/t/p/original/lrglrxyGOMRl9KCsmcjmzjjpT2H.png
11395;ImageMovers;US;https://image.tmdb.org/t/p/original/5vSBzUwnCcaF90ZTchG3LwRKQ2M.png
11461;Bad Robot;US;https://image.tmdb.org/t/p/original/p9FoEt5shEKRWRKVIlvFaEmRnun.png
11537;Laika Entertainment;US;https://image.tmdb.org/t/p/original/AgCkAk8EpUG9fTmK6mWcaJA2Zwh.png
11565;The Safran Company;US;https://image.tmdb.org/t/p/original
11620;OCS;FR;https://image.tmdb.org/t/p/original/f3hRdCaK1w9qH1Qs8nLd2L2bae1.png
11661;Rysher Entertainment;;https://image.tmdb.org/t/p/original
11726;The Yomiuri Shimbun;JP;https://image.tmdb.org/t/p/original
11749;20th Century Fox Animation;US;https://image.tmdb.org/t/p/original/5AzTeZkSCFhiGZ86g2nz8SAHtgy.png
11846;Hakuhodo DY Media Partners;JP;https://image.tmdb.org/t/p/original/olUFlCIaeecGrCTE4WLbF3ro7pa.png
11847;Mitsubishi;JP;https://image.tmdb.org/t/p/original/rZP0I1p3hZNUMNFPHUSal6rWThQ.png
11848;KDDI;JP;https://image.tmdb.org/t/p/original
11849;Lawson;;https://image.tmdb.org/t/p/original
11918;Animationsfabrik;DE;https://image.tmdb.org/t/p/original
11930;Kumar Mobiliengesellschaft mbH & Co. Projekt Nr. 2 KG;;https://image.tmdb.org/t/p/original
12096;Mandarin Films;CN;https://image.tmdb.org/t/p/original
12199;Madhouse Entertainment;US;https://image.tmdb.org/t/p/original/gYYIgHpgRsyhyUkeFev1GnwBqHb.png
12288;Nintendo;JP;https://image.tmdb.org/t/p/original/e4dQAqZD374H5EuM0W1ljEBWTKy.png
