idstudio;idmovie
2;tt4520988
644;tt0113114
5739;tt0113114
508;tt0113114
174;tt0113114
104;tt0113114
1;tt2527338
11461;tt2527338
1;tt0120915
25;tt0120915
520;tt0351283
521;tt0351283
7;tt0351283
33;tt6185658
694;tt5715410
10159;tt5715410
240;tt0117509
9965;tt12481806
8649;tt4466894
12096;tt4466894
90333;tt4466894
694;tt4466894
1115;tt4466894
60843;tt4466894
7964;tt0072901
5851;tt0072901
7963;tt0072901
318;tt13932162
46315;tt13932162
11029;tt13932162
137586;tt12767498
5024;tt12767498
2090;tt10006006
7036;tt0126029
10159;tt9204164
7965;tt0087928
174;tt0087928
7470;tt1454468
174;tt1454468
437;tt1454468
4152;tt13454122
71194;tt4940416
10163;tt2194499
14384;tt2194499
33;tt2194499
7295;tt2194499
113731;tt0765465
113732;tt0765465
113733;tt0765465
113734;tt0765465
113735;tt0765465
2;tt2948372
3;tt2948372
3922;tt7367960
116793;tt7367960
116794;tt7367960
77973;tt7979580
5;tt7979580
2251;tt7979580
1991;tt1230204
10159;tt1230204
10160;tt1230204
7036;tt1230204
6220;tt7130740
10280;tt7130740
12;tt0118929
908;tt0118929
174;tt0119099
17012;tt12139700
521;tt2224026
95590;tt6772524
75234;tt6772524
110831;tt6772524
81139;tt6772524
78669;tt6772524
83838;tt13779166
143947;tt13779166
62976;tt13779166
151541;tt13779166
2251;tt5562070
81620;tt5562070
121604;tt5562070
109148;tt5562070
107790;tt5562070
34;tt5562070
2;tt2771200
10227;tt2771200
5542;tt10635042
5822;tt10635042
6075;tt10635042
57977;tt10635042
59118;tt10635042
73025;tt10635042
23399;tt10635042
1;tt0121765
25;tt0121765
1;tt0121766
25;tt0121766
1;tt0076759
25;tt0076759
1;tt0086190
25;tt0086190
3166;tt0061852
1779;tt0096283
6125;tt0103639
174;tt0106965
69437;tt7979580
78984;tt8521876
10937;tt8521876
2;tt0120623
9269;tt0164912
14440;tt0164912
2;tt0279967
5391;tt0279967
10807;tt10600398
25608;tt10600398
24097;tt2017020
5;tt2017020
2251;tt2017020
9169;tt2017020
7311;tt2017020
34;tt2017020
491;tt1099212
12292;tt1099212
4000;tt1099212
5218;tt1099212
500;tt1099212
57750;tt1099212
748;tt0331632
174;tt0331632
491;tt1259571
12292;tt1259571
4000;tt1259571
5218;tt1259571
5219;tt1259571
491;tt1325004
12292;tt1325004
5218;tt1325004
4000;tt1325004
5219;tt1325004
20064;tt1325004
491;tt1324999
5219;tt1324999
7490;tt1324999
58321;tt1324999
58322;tt1324999
12292;tt1324999
6446;tt1324999
19331;tt3202200
34;tt6338498
2251;tt6338498
5;tt6338498
415;tt6338498
33;tt11084896
521;tt11084896
7981;tt1723642
104;tt1723642
11199;tt1723642
356;tt1723642
6900;tt1723642
1929;tt1638275
17588;tt1638275
20556;tt11958344
63189;tt3977462
42332;tt7488208
230;tt4008866
46188;tt4008866
14758;tt4008866
4606;tt4008866
76563;tt5274066
436;tt0477347
2575;tt0477347
25;tt0477347
290;tt0477347
20035;tt0477347
230;tt4997398
19331;tt4997398
4606;tt4997398
14758;tt4997398
521;tt6932874
33;tt6932874
5;tt0837562
2251;tt0837562
34;tt0837562
5;tt5220122
2251;tt5220122
34;tt5220122
143396;tt7080422
47;tt7080422
111372;tt7080422
143397;tt7080422
100870;tt7080422
2575;tt1078912
436;tt1078912
444;tt1078912
20478;tt1078912
10224;tt1078912
25;tt1078912
297;tt2872750
20664;tt2872750
694;tt2872750
57031;tt10101702
7225;tt10101702
65013;tt10101702
2;tt5109280
6125;tt5109280
3;tt12801262
2;tt12801262
882;tt11819890
71963;tt11819890
12653;tt11819890
5372;tt11819890
31058;tt11819890
4;tt0413895
7311;tt0413895
3475;tt0324941
11098;tt0112642
33;tt0112642
56;tt0112642
87590;tt5493944
73832;tt5493944
87591;tt5493944
7076;tt5814534
9383;tt5814534
11749;tt5814534
25;tt5814534
2;tt0325980
130;tt0325980
9383;tt0358082
11749;tt0358082
25;tt0358082
33;tt0107290
56;tt0107290
33;tt0088763
56;tt0088763
521;tt1679335
3528;tt1517451
83035;tt1517451
975;tt1517451
83036;tt1517451
171;tt1517451
174;tt1517451
81368;tt1517451
10342;tt12441478
15505;tt12441478
11376;tt12441478
2090;tt14731142
64216;tt14731142
33;tt0096874
56;tt0096874
151541;tt14317062
5;tt1430607
2251;tt1430607
297;tt1430607
433;tt13575806
96541;tt13575806
5;tt5117670
8089;tt5117670
84792;tt5117670
7291;tt5117670
7584;tt5117670
10951;tt5117670
34;tt5117670
2251;tt5117670
29566;tt4729430
101644;tt4729430
25032;tt8456190
23953;tt8456190
564;tt8456190
75234;tt10841088
142311;tt10841088
168091;tt10841088
89705;tt5851904
34069;tt5851904
694;tt5851904
792;tt5851904
24430;tt5851904
130752;tt5851904
5;tt9848626
2251;tt9848626
34;tt9848626
2531;tt9848626
4436;tt4629266
61239;tt4629266
559;tt0113497
10201;tt0113497
2550;tt0113497
34;tt0113497
9993;tt1133985
2609;tt1133985
174;tt1133985
5391;tt1216516
22135;tt1216516
429;tt1477834
9993;tt1477834
174;tt1477834
11565;tt1477834
112502;tt1477834
112611;tt1477834
128064;tt1477834
9995;tt1477834
2;tt0397892
166230;tt4633694
2;tt0318403
9993;tt0448115
429;tt0448115
12;tt0448115
174;tt0448115
11565;tt0448115
73669;tt0448115
128064;tt0448115
6125;tt0042332
6125;tt0053285
6755;tt0347618
882;tt0347618
1779;tt0347618
5542;tt7961060
7485;tt7961060
2918;tt7961060
3341;tt7961060
12502;tt7961060
12;tt0114369
4286;tt0114369
65393;tt0114369
146118;tt9204164
78298;tt9204164
7094;tt9760504
3627;tt9760504
155586;tt9760504
59118;tt9760504
1778;tt9760504
3466;tt9760504
163862;tt9760504
11848;tt9760504
116599;tt9760504
120239;tt9760504
163863;tt9760504
64216;tt8954732
13070;tt8856470
82077;tt8856470
12654;tt6595896
5;tt5562070
13270;tt4426464
19331;tt4008866
7036;tt3148834
12852;tt3148834
5391;tt2980706
2;tt2980706
16268;tt1764625
5391;tt1691917
829;tt1646971
73369;tt1490017
17;tt1402488
13675;tt1402488
62976;tt12759408
5024;tt12759408
14714;tt11276598
158413;tt10600398
2;tt0435761
11930;tt0414853
3475;tt0249677
97;tt0120689
3982;tt0120689
174;tt0120689
25;tt0117509
97;tt0111161
4;tt0109830
21920;tt0109830
6125;tt0097757
108270;tt0095489
6125;tt0057546
521;tt2386490
20154;tt2386490
1903;tt0389790
521;tt0389790
137586;tt15053428
694;tt3700392
5485;tt3700392
26027;tt3700392
161;tt3700392
42145;tt3700392
4606;tt3700392
33;tt2850386
521;tt2850386
420;tt4154756
82819;tt2463208
104228;tt2463208
2575;tt2463208
125055;tt11286314
6125;tt2953050
2;tt2953050
20613;tt8746404
129771;tt8746404
129772;tt8746404
129773;tt8746404
129774;tt8746404
121605;tt7504818
127928;tt7504818
141821;tt7504818
22213;tt7504818
107183;tt7504818
10342;tt0876563
11726;tt0876563
11846;tt0876563
11847;tt0876563
11849;tt0876563
34557;tt0876563
34558;tt0876563
882;tt0876563
6755;tt0876563
4077;tt0118665
4078;tt0118665
559;tt0118665
6220;tt2396690
2213;tt2396690
8816;tt0103786
33;tt0103786
5;tt1502397
84792;tt1502397
10288;tt1502397
907;tt1502397
5;tt0112442
10288;tt0112442
521;tt0307453
7;tt0307453
2;tt3228774
3538;tt3228774
2527;tt3228774
2;tt10298810
3;tt10298810
33;tt6467266
6704;tt6467266
33;tt5113044
6704;tt5113044
178464;tt9288046
25;tt1615918
444;tt1615918
508;tt1615918
711;tt1615918
10930;tt1615918
2;tt8097030
3;tt8097030
47;tt5790684
25894;tt5790684
68112;tt5790684
104638;tt5790684
134396;tt10714856
134397;tt10714856
5;tt0472181
34;tt0472181
2251;tt0472181
7311;tt0472181
6220;tt2630134
174;tt8912936
8089;tt8912936
9993;tt8912936
25120;tt8912936
73669;tt8912936
2348;tt9784708
3735;tt9037650
4606;tt9037650
28280;tt9037650
130123;tt9037650
5056;tt7531096
25954;tt7531096
115965;tt7531096
3419;tt8255452
7501;tt8255452
46315;tt8255452
171791;tt18059108
171792;tt18059108
4;tt3794354
333;tt3794354
10644;tt3794354
77884;tt3794354
61460;tt5378092
106008;tt5378092
123789;tt15463032
180075;tt15463032
5024;tt0426955
2;tt3040964
7297;tt3040964
20478;tt3040964
101767;tt7104578
2;tt0383574
130;tt0383574
19936;tt0383574
101767;tt9810420
5;tt0383060
34;tt0383060
497;tt0383060
598;tt0383060
12626;tt0383060
9;tt0096842
7959;tt0096842
5;tt6095472
2251;tt6095472
18642;tt6095472
91920;tt6095472
591;tt9784518
694;tt9784518
792;tt9784518
19890;tt9784518
75242;tt9784518
21;tt11125620
13240;tt11125620
16494;tt11125620
46875;tt11125620
75234;tt11125620
37;tt0437777
923;tt14641788
121424;tt14641788
79;tt7286456
174;tt7286456
13240;tt7286456
83036;tt7286456
128064;tt7286456
33;tt1176410
67327;tt22774688
76742;tt22774688
10163;tt8079248
4;tt0268397
2348;tt0268397
5682;tt0268397
89136;tt0268397
170390;tt11278476
19649;tt0470982
31015;tt0470982
3172;tt1799516
103536;tt1799516
5850;tt0062687
5851;tt0062687
2090;tt14715170
64216;tt14715170
127742;tt14715170
132947;tt14715170
101302;tt15565714
50246;tt20561114
141919;tt13103340
17012;tt20917338
82554;tt20917338
33;tt6324278
521;tt6324278
1778;tt6324278
76266;tt6324278
12;tt2452244
8000;tt2452244
13240;tt2452244
53152;tt2452244
115634;tt2452244
2090;tt15979222
64216;tt15979222
111905;tt15979222
342;tt6913168
356;tt6913168
858;tt6913168
29326;tt14384176
144320;tt14384176
29326;tt12459520
144320;tt12459520
25;tt0499549
290;tt0499549
444;tt0499549
574;tt0499549
104;tt3759416
310;tt3759416
1115;tt3759416
4888;tt3759416
5850;tt3759416
8649;tt3759416
10611;tt3759416
11261;tt3759416
16670;tt3759416
34774;tt3759416
60440;tt3759416
574;tt1630029
127928;tt1630029
56;tt1677720
79;tt1677720
174;tt1677720
444;tt1677720
2609;tt1677720
7294;tt1677720
11249;tt1677720
4;tt0427229
258;tt0427229
84423;tt0427229
37871;tt11564570
33;tt3915174
521;tt3915174
882;tt1794796
2787;tt2262227
11749;tt2262227
177082;tt2262227
104;tt11060092
591;tt11060092
2902;tt11060092
7131;tt11060092
11620;tt11060092
19037;tt11060092
22127;tt11060092
66331;tt11060092
127789;tt11060092
10163;tt3447590
146885;tt3447590
88548;tt15334430
161410;tt15334430
208;tt8329148
591;tt8329148
18570;tt8329148
28792;tt8329148
92840;tt8329148
1092;tt9288748
5122;tt9288748
23948;tt9288748
5;tt0107048
2883;tt7236034
3031;tt7236034
8157;tt7236034
56933;tt7236034
62866;tt7236034
86839;tt7236034
145105;tt7236034
145106;tt7236034
2213;tt1294138
6220;tt1294138
6220;tt2197823
2;tt6139732
118854;tt6139732
5024;tt0859594
49983;tt0859594
318;tt3746824
46315;tt3746824
5024;tt0450982
1779;tt0347149
1780;tt0347149
2752;tt0347149
6755;tt0347149
10342;tt0347149
11847;tt0347149
12518;tt0347149
25;tt3411444
1302;tt3411444
9383;tt3411444
11749;tt3411444
420;tt0478970
420;tt5095030
416;tt0071853
463;tt0071853
464;tt0071853
10208;tt5783956
35076;tt5783956
4022;tt5783956
80970;tt5783956
507;tt0451279
9995;tt0451279
128064;tt0451279
8089;tt2560092
171251;tt2560092
79;tt2560092
193620;tt2560092
4;tt0068646
10211;tt0068646
5024;tt0313255
23;tt11426572
24021;tt11426572
59033;tt11426572
